date,number_accidents
2020-07-01,387
2020-07-02,410
2020-07-03,492
2020-07-04,531
2020-07-05,442
2020-07-06,435
2020-07-07,379
2020-07-08,496
2020-07-09,445
2020-07-10,536
2020-07-11,586
2020-07-12,475
2020-07-13,430
2020-07-14,385
2020-07-15,414
2020-07-16,383
2020-07-17,514
2020-07-18,620
2020-07-19,518
2020-07-20,442
2020-07-21,417
2020-07-22,422
2020-07-23,424
2020-07-24,532
2020-07-25,591
2020-07-26,468
2020-07-27,394
2020-07-28,409
2020-07-29,486
2020-07-30,409
2020-07-31,543
2020-08-01,572
2020-08-02,520
2020-08-03,431
2020-08-04,435
2020-08-05,487
2020-08-06,430
2020-08-07,668
2020-08-08,687
2020-08-09,528
2020-08-10,448
2020-08-11,455
2020-08-12,455
2020-08-13,439
2020-08-14,572
2020-08-15,602
2020-08-16,410
2020-08-17,445
2020-08-18,355
2020-08-19,379
2020-08-20,419
2020-08-21,483
2020-08-22,522
2020-08-23,478
2020-08-24,428
2020-08-25,453
2020-08-26,479
2020-08-27,461
2020-08-28,563
2020-08-29,676
2020-08-30,631
2020-08-31,419
2020-09-01,416
2020-09-02,383
2020-09-03,482
2020-09-04,613
2020-09-05,650
2020-09-06,555
2020-09-07,437
2020-09-08,439
2020-09-09,492
2020-09-10,443
2020-09-11,517
2020-09-12,659
2020-09-13,554
2020-09-14,416
2020-09-15,408
2020-09-16,460
2020-09-17,457
2020-09-18,537
2020-09-19,636
2020-09-20,435
2020-09-21,478
2020-09-22,380
2020-09-23,402
2020-09-24,467
2020-09-25,597
2020-09-26,688
2020-09-27,555
2020-09-28,425
2020-09-29,438
2020-09-30,479
2020-10-01,479
2020-10-02,628
2020-10-03,655
2020-10-04,518
2020-10-05,478
2020-10-06,477
2020-10-07,527
2020-10-08,524
2020-10-09,597
2020-10-10,649
2020-10-11,570
2020-10-12,442
2020-10-13,491
2020-10-14,420
2020-10-15,479
2020-10-16,506
2020-10-17,543
2020-10-18,586
2020-10-19,435
2020-10-20,474
2020-10-21,484
2020-10-22,520
2020-10-23,581
2020-10-24,595
2020-10-25,470
2020-10-26,483
2020-10-27,463
2020-10-28,554
2020-10-29,529
2020-10-30,550
2020-10-31,562
2020-11-01,510
2020-11-02,466
2020-11-03,466
2020-11-04,485
2020-11-05,460
2020-11-06,607
2020-11-07,765
2020-11-08,691
2020-11-09,520
2020-11-10,424
2020-11-11,497
2020-11-12,469
2020-11-13,596
2020-11-14,668
2020-11-15,661
2020-11-16,474
2020-11-17,459
2020-11-18,470
2020-11-19,486
2020-11-20,592
2020-11-21,665
2020-11-22,612
2020-11-23,501
2020-11-24,471
2020-11-25,511
2020-11-26,483
2020-11-27,599
2020-11-28,717
2020-11-29,655
2020-11-30,473
2020-12-01,489
2020-12-02,519
2020-12-03,484
2020-12-04,651
2020-12-05,670
2020-12-06,570
2020-12-07,500
2020-12-08,453
2020-12-09,507
2020-12-10,482
2020-12-11,582
2020-12-12,627
2020-12-13,610
2020-12-14,472
2020-12-15,474
2020-12-16,487
2020-12-17,548
2020-12-18,650
2020-12-19,762
2020-12-20,654
2020-12-21,526
2020-12-22,504
2020-12-23,543
2020-12-24,557
2020-12-25,524
2020-12-26,394
2020-12-27,349
2020-12-28,440
2020-12-29,383
2020-12-30,539
2020-12-31,502
2021-01-01,470
2021-01-02,331
2021-01-03,385
2021-01-04,399
2021-01-05,360
2021-01-06,392
2021-01-07,426
2021-01-08,494
2021-01-09,575
2021-01-10,460
2021-01-11,454
2021-01-12,438
2021-01-13,458
2021-01-14,458
2021-01-15,493
2021-01-16,605
2021-01-17,488
2021-01-18,440
2021-01-19,401
2021-01-20,399
2021-01-21,408
2021-01-22,524
2021-01-23,566
2021-01-24,448
2021-01-25,434
2021-01-26,431
2021-01-27,443
2021-01-28,424
2021-01-29,542
2021-01-30,613
2021-01-31,468
2021-02-01,399
