date,number_accidents
2022-07-01,682
2022-07-02,726
2022-07-03,617
2022-07-04,553
2022-07-05,477
2022-07-06,538
2022-07-07,583
2022-07-08,685
2022-07-09,640
2022-07-10,644
2022-07-11,530
2022-07-12,436
2022-07-13,517
2022-07-14,544
2022-07-15,601
2022-07-16,653
2022-07-17,592
2022-07-18,456
2022-07-19,493
2022-07-20,524
2022-07-21,553
2022-07-22,611
2022-07-23,660
2022-07-24,625
2022-07-25,489
2022-07-26,505
2022-07-27,470
2022-07-28,506
2022-07-29,660
2022-07-30,634
2022-07-31,574
2022-08-01,438
2022-08-02,451
2022-08-03,498
2022-08-04,493
2022-08-05,645
2022-08-06,570
2022-08-07,537
2022-08-08,501
2022-08-09,511
2022-08-10,496
2022-08-11,504
2022-08-12,605
2022-08-13,649
2022-08-14,566
2022-08-15,482
2022-08-16,514
2022-08-17,473
2022-08-18,464
2022-08-19,542
2022-08-20,530
2022-08-21,556
2022-08-22,488
2022-08-23,460
2022-08-24,483
2022-08-25,429
2022-08-26,595
2022-08-27,591
2022-08-28,582
2022-08-29,461
2022-08-30,485
2022-08-31,561
2022-09-01,572
2022-09-02,670
2022-09-03,739
2022-09-04,490
2022-09-05,546
2022-09-06,631
2022-09-07,517
2022-09-08,615
2022-09-09,656
2022-09-10,636
2022-09-11,486
2022-09-12,524
2022-09-13,544
2022-09-14,553
2022-09-15,554
2022-09-16,653
2022-09-17,672
2022-09-18,647
2022-09-19,596
2022-09-20,558
2022-09-21,530
2022-09-22,548
2022-09-23,700
2022-09-24,676
2022-09-25,557
2022-09-26,500
2022-09-27,471
2022-09-28,461
2022-09-29,500
2022-09-30,541
2022-10-01,665
2022-10-02,719
2022-10-03,491
2022-10-04,492
2022-10-05,579
2022-10-06,647
2022-10-07,671
2022-10-08,726
2022-10-09,629
2022-10-10,479
2022-10-11,570
2022-10-12,512
2022-10-13,537
2022-10-14,631
2022-10-15,583
2022-10-16,548
2022-10-17,545
2022-10-18,492
2022-10-19,531
2022-10-20,537
2022-10-21,619
2022-10-22,664
2022-10-23,614
2022-10-24,485
2022-10-25,562
2022-10-26,563
2022-10-27,537
2022-10-28,627
2022-10-29,754
2022-10-30,744
2022-10-31,533
2022-11-01,512
2022-11-02,400
2022-11-03,490
2022-11-04,602
2022-11-05,594
2022-11-06,495
2022-11-07,554
2022-11-08,537
2022-11-09,574
2022-11-10,619
2022-11-11,729
2022-11-12,767
2022-11-13,674
2022-11-14,551
2022-11-15,557
2022-11-16,636
2022-11-17,537
2022-11-18,701
2022-11-19,670
2022-11-20,611
2022-11-21,578
2022-11-22,586
2022-11-23,520
2022-11-24,815
2022-11-25,600
2022-11-26,618
2022-11-27,617
2022-11-28,654
2022-11-29,519
2022-11-30,547
2022-12-01,535
2022-12-02,760
2022-12-03,609
2022-12-04,522
2022-12-05,608
2022-12-06,511
2022-12-07,533
2022-12-08,392
2022-12-09,806
2022-12-10,660
2022-12-11,536
2022-12-12,527
2022-12-13,462
2022-12-14,522
2022-12-15,538
2022-12-16,604
2022-12-17,625
2022-12-18,575
2022-12-19,479
2022-12-20,482
2022-12-21,526
2022-12-22,530
2022-12-23,654
2022-12-24,619
2022-12-25,650
2022-12-26,390
2022-12-27,373
2022-12-28,412
2022-12-29,409
2022-12-30,509
2022-12-31,443
2023-01-01,494
2023-01-02,351
2023-01-03,390
2023-01-04,391
2023-01-05,368
2023-01-06,441
2023-01-07,443
2023-01-08,385
2023-01-09,409
2023-01-10,418
2023-01-11,398
2023-01-12,437
2023-01-13,536
2023-01-14,578
2023-01-15,542
2023-01-16,440
2023-01-17,412
2023-01-18,395
2023-01-19,456
2023-01-20,558
2023-01-21,593
2023-01-22,494
2023-01-23,440
2023-01-24,466
2023-01-25,474
2023-01-26,472
2023-01-27,536
2023-01-28,537
2023-01-29,503
2023-01-30,463
2023-01-31,470
2023-02-01,448
2023-02-02,458
2023-02-03,520
2023-02-04,579
2023-02-05,471
2023-02-06,483
2023-02-07,495
2023-02-08,522
2023-02-09,525
2023-02-10,581
2023-02-11,569
2023-02-12,547
2023-02-13,497
