date,number_accidents
2019-07-01,468
2019-07-02,450
2019-07-03,491
2019-07-04,612
2019-07-05,559
2019-07-06,650
2019-07-07,440
2019-07-08,471
2019-07-09,403
2019-07-10,510
2019-07-11,484
2019-07-12,555
2019-07-13,588
2019-07-14,494
2019-07-15,513
2019-07-16,448
2019-07-17,462
2019-07-18,458
2019-07-19,529
2019-07-20,634
2019-07-21,518
2019-07-22,459
2019-07-23,450
2019-07-24,499
2019-07-25,485
2019-07-26,544
2019-07-27,568
2019-07-28,481
2019-07-29,422
2019-07-30,412
2019-07-31,155
2019-08-01,494
2019-08-02,549
2019-08-03,549
2019-08-04,395
2019-08-05,476
2019-08-06,492
2019-08-07,506
2019-08-08,567
2019-08-09,644
2019-08-10,708
2019-08-11,539
2019-08-12,499
2019-08-13,489
2019-08-14,507
2019-08-15,525
2019-08-16,592
2019-08-17,645
2019-08-18,509
2019-08-19,477
2019-08-20,488
2019-08-21,510
2019-08-22,513
2019-08-23,663
2019-08-24,679
2019-08-25,540
2019-08-26,492
2019-08-27,512
2019-08-28,484
2019-08-29,504
2019-08-30,591
2019-08-31,354
2019-09-01,474
2019-09-02,475
2019-09-03,471
2019-09-04,453
2019-09-05,505
2019-09-06,601
2019-09-07,621
2019-09-08,567
2019-09-09,538
2019-09-10,503
2019-09-11,490
2019-09-12,559
2019-09-13,569
2019-09-14,608
2019-09-15,576
2019-09-16,493
2019-09-17,443
2019-09-18,481
2019-09-19,495
2019-09-20,570
2019-09-21,539
2019-09-22,472
2019-09-23,456
2019-09-24,442
2019-09-25,491
2019-09-26,442
2019-09-27,578
2019-09-28,599
2019-09-29,489
2019-09-30,259
2019-10-01,486
2019-10-02,475
2019-10-03,499
2019-10-04,686
2019-10-05,698
2019-10-06,576
2019-10-07,502
2019-10-08,559
2019-10-09,465
2019-10-10,546
2019-10-11,634
2019-10-12,608
2019-10-13,566
2019-10-14,510
2019-10-15,500
2019-10-16,483
2019-10-17,480
2019-10-18,677
2019-10-19,584
2019-10-20,518
2019-10-21,492
2019-10-22,450
2019-10-23,495
2019-10-24,531
2019-10-25,587
2019-10-26,607
2019-10-27,536
2019-10-28,452
2019-10-29,531
2019-10-30,498
2019-10-31,293
2019-11-01,657
2019-11-02,601
2019-11-03,573
2019-11-04,510
2019-11-05,581
2019-11-06,510
2019-11-07,490
2019-11-08,636
2019-11-09,605
2019-11-10,486
2019-11-11,523
2019-11-12,498
2019-11-13,531
2019-11-14,588
2019-11-15,485
2019-11-16,524
2019-11-17,518
2019-11-18,471
2019-11-19,467
2019-11-20,448
2019-11-21,531
2019-11-22,610
